,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,laisser,let
11,12,car,because
12,13,laisse,leash
13,14,chaque,each
14,15,parlé,speak
15,16,arrivé,come
16,17,devrait,should
17,18,bébé,baby
18,19,longtemps,long time
19,20,heures,hours
20,21,vont,will
21,22,pendant,while
22,23,revoir,meet again
23,24,aucune,any
24,25,place,square
25,26,parle,speak
26,27,compris,understood
27,28,savais,knew
28,29,étaient,were
29,30,attention,Warning
30,31,voici,here is
31,32,pourrais,could
32,33,affaire,case
33,34,donner,give
34,35,type,type
35,36,leurs,their
36,37,donné,given
37,38,train,train
38,39,corps,body
39,40,endroit,place
40,41,yeux,eyes
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,trouve,find
45,46,main,hand
46,47,première,first
47,48,côté,side
48,49,pouvoir,power
49,51,sois,be
50,52,tiens,here
51,53,matin,morning
52,54,tellement,so much
53,55,enfant,child
54,57,venu,came
55,58,suite,after
56,59,pardon,sorry
57,60,venez,come
58,61,vers,towards
59,62,minutes,minutes
60,63,demandé,request
61,64,mis,placed
62,65,belle,beautiful
63,66,droit,law
64,67,aimerais,would like to
65,68,aujourd'hui,today
66,69,mari,husband
67,70,cause,cause
68,71,enfin,finally
69,72,espère,hope
70,73,eau,water
71,74,attendez,Wait
72,75,parti,left
73,76,nouvelle,new
74,77,boulot,job
75,78,arrêter,Stop
76,79,dirait,would say
77,80,terre,Earth
78,81,compte,account
79,82,donne,given
80,83,loin,far
81,84,fin,end
82,86,chérie,sweetheart
83,87,gros,large
84,88,aura,will have
85,89,filles,girls
86,90,jouer,to play
87,91,bureau,office
